identifiant,nom_categorie,type_cat,url,id_parent
1,Bricolage,CAT,https://www.lamaison.fr/bricolage.html,
1,Outillage,S_CAT,https://www.lamaison.fr/bricolage/outillage.html,1
1,Outil électroportatif,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/outil-electroportatif.html,1
2,Outillage à main,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/outillage-a-main.html,1
3,Machine d'atelier,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/machine-d-atelier.html,1
4,Matériel de chantier,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/materiel-de-chantier.html,1
5,Matériel de nettoyage,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/materiel-de-nettoyage.html,1
2,Echelle et brouette,S_CAT,https://www.lamaison.fr/bricolage/echelle-et-brouette.html,1
6,Echelle,PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/echelle.html,2
7,Escabeau,PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/escabeau.html,2
8,Echafaudage,PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/echafaudage.html,2
9,Brouette,PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/brouette.html,2
10,"Diable, chariot de manutention",PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/diable-chariot-de-manutention.html,2
3,"Electricité, Domotique et Sécurité",S_CAT,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite.html,1
11,Eclairage,PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/eclairage.html,3
12,"Énergie solaire, photovoltaïque",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/energie-solaire-photovoltaique.html,3
13,"Pile, ampoule",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/pile-ampoule.html,3
14,"Multiprise, enrouleur, rallonge",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/multiprise-enrouleur-rallonge.html,3
15,"Douille, fiche",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/douille-fiche.html,3
16,"Câble, gaine, moulure",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/cable-gaine-moulure.html,3
17,"Appareillage, boîte",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/appareillage-boite.html,3
18,Accessoire électrique,PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/accessoire-electrique.html,3
19,Outil de l'électricien,PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/outil-de-l-electricien.html,3
20,"Caméra, alarme, surveillance",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/camera-alarme-surveillance.html,3
21,"Domotique, objet connecté",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/domotique-objet-connecte.html,3
22,"Accessoire TV, téléphonie, informatique",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/accessoire-tv-telephonie-informatique.html,3
4,Plomberie,S_CAT,https://www.lamaison.fr/bricolage/plomberie.html,1
23,Robinetterie,PAGE_LIST,https://www.lamaison.fr/bricolage/plomberie/robinetterie.html,4
24,Sanitaire,PAGE_LIST,https://www.lamaison.fr/bricolage/plomberie/sanitaire.html,4
25,"Chauffe-eau, ballon d'eau chaude",PAGE_LIST,https://www.lamaison.fr/bricolage/plomberie/chauffe-eau-ballon-d-eau-chaude.html,4
26,"Tube, raccord",PAGE_LIST,https://www.lamaison.fr/bricolage/plomberie/tube-raccord.html,4
27,"Evacuation, traitement de l'eau",PAGE_LIST,https://www.lamaison.fr/bricolage/plomberie/evacuation-traitement-de-l-eau.html,4
28,Accessoire d'étanchéité,PAGE_LIST,https://www.lamaison.fr/bricolage/plomberie/accessoire-d-etancheite.html,4
29,Outil du plombier,PAGE_LIST,https://www.lamaison.fr/bricolage/plomberie/outil-du-plombier.html,4
5,Chauffage,S_CAT,https://www.lamaison.fr/bricolage/chauffage.html,1
30,"Chauffage d'appoint, radiateur électrique",PAGE_LIST,https://www.lamaison.fr/bricolage/chauffage/chauffage-d-appoint-radiateur-electrique.html,5
31,"Cheminée, poêle",PAGE_LIST,https://www.lamaison.fr/bricolage/chauffage/cheminee-poele.html,5
32,"Allumage, bois de chauffage, granulés",PAGE_LIST,https://www.lamaison.fr/bricolage/chauffage/allumage-bois-de-chauffage-granules.html,5
33,Entretien cheminée et poêle,PAGE_LIST,https://www.lamaison.fr/bricolage/chauffage/entretien-cheminee-et-poele.html,5
34,Accessoire cheminée et poêle,PAGE_LIST,https://www.lamaison.fr/bricolage/chauffage/accessoire-cheminee-et-poele.html,5
35,Climatisation et filtration de l'air,PAGE_LIST,https://www.lamaison.fr/bricolage/chauffage/climatisation-et-filtration-de-l-air.html,5
6,Quincaillerie,S_CAT,https://www.lamaison.fr/bricolage/quincaillerie.html,1
36,"Visserie, boulonnerie, clouterie",PAGE_LIST,https://www.lamaison.fr/bricolage/quincaillerie/visserie-boulonnerie-clouterie.html,6
37,"Cheville, crochet, piton",PAGE_LIST,https://www.lamaison.fr/bricolage/quincaillerie/cheville-crochet-piton.html,6
38,"Verrou, serrure",PAGE_LIST,https://www.lamaison.fr/bricolage/quincaillerie/verrou-serrure.html,6
39,"Roue, roulette",PAGE_LIST,https://www.lamaison.fr/bricolage/quincaillerie/roue-roulette.html,6
40,Quincaillerie de bâtiment,PAGE_LIST,https://www.lamaison.fr/bricolage/quincaillerie/quincaillerie-de-batiment.html,6
41,Boîte aux lettres et signalétique,PAGE_LIST,https://www.lamaison.fr/bricolage/quincaillerie/boite-aux-lettres-et-signaletique.html,6
42,Quincaillerie d'ameublement,PAGE_LIST,https://www.lamaison.fr/bricolage/quincaillerie/quincaillerie-d-ameublement.html,6
43,Arrimage et cordage,PAGE_LIST,https://www.lamaison.fr/bricolage/quincaillerie/arrimage-et-cordage.html,6
7,Peinture et renovation,S_CAT,https://www.lamaison.fr/bricolage/peinture-et-renovation.html,1
44,Peinture intérieure,PAGE_LIST,https://www.lamaison.fr/bricolage/peinture-et-renovation/peinture-interieure.html,7
45,Peinture extérieure,PAGE_LIST,https://www.lamaison.fr/bricolage/peinture-et-renovation/peinture-exterieure.html,7
46,Rénovation,PAGE_LIST,https://www.lamaison.fr/bricolage/peinture-et-renovation/renovation.html,7
47,Entretien du bois,PAGE_LIST,https://www.lamaison.fr/bricolage/peinture-et-renovation/entretien-du-bois.html,7
48,Outil du peintre,PAGE_LIST,https://www.lamaison.fr/bricolage/peinture-et-renovation/outil-du-peintre.html,7
8,Consommables et accessoires,S_CAT,https://www.lamaison.fr/bricolage/consommables-et-accessoires.html,1
49,"Foret, lame, disque",PAGE_LIST,https://www.lamaison.fr/bricolage/consommables-et-accessoires/foret-lame-disque.html,8
50,"Scie cloche, trépan, fraise",PAGE_LIST,https://www.lamaison.fr/bricolage/consommables-et-accessoires/scie-cloche-trepan-fraise.html,8
51,Embout de vissage,PAGE_LIST,https://www.lamaison.fr/bricolage/consommables-et-accessoires/embout-de-vissage.html,8
52,"Huile, graisse, lubrifiant",PAGE_LIST,https://www.lamaison.fr/bricolage/consommables-et-accessoires/huile-graisse-lubrifiant.html,8
53,"Abrasif, brosse",PAGE_LIST,https://www.lamaison.fr/bricolage/consommables-et-accessoires/abrasif-brosse.html,8
54,"Ruban, adhésif, colle",PAGE_LIST,https://www.lamaison.fr/bricolage/consommables-et-accessoires/ruban-adhesif-colle.html,8
55,"Silicone, mastic",PAGE_LIST,https://www.lamaison.fr/bricolage/consommables-et-accessoires/silicone-mastic.html,8
56,"Pile, chargeur, batterie",PAGE_LIST,https://www.lamaison.fr/bricolage/consommables-et-accessoires/pile-chargeur-batterie.html,8
57,Protection de la personne,PAGE_LIST,https://www.lamaison.fr/bricolage/consommables-et-accessoires/protection-de-la-personne.html,8
9,Droguerie et entretien de la maison,S_CAT,https://www.lamaison.fr/bricolage/droguerie-et-entretien-de-la-maison.html,1
58,Entretien de la maison,PAGE_LIST,https://www.lamaison.fr/bricolage/droguerie-et-entretien-de-la-maison/entretien-de-la-maison.html,9
59,"Gant, lavette, serpillère",PAGE_LIST,https://www.lamaison.fr/bricolage/droguerie-et-entretien-de-la-maison/gant-lavette-serpillere.html,9
60,"Balai, brosse",PAGE_LIST,https://www.lamaison.fr/bricolage/droguerie-et-entretien-de-la-maison/balai-brosse.html,9
61,"Contenant, poubelle",PAGE_LIST,https://www.lamaison.fr/bricolage/droguerie-et-entretien-de-la-maison/contenant-poubelle.html,9
62,Entretien du linge,PAGE_LIST,https://www.lamaison.fr/bricolage/droguerie-et-entretien-de-la-maison/entretien-du-linge.html,9
63,Produit d'antan,PAGE_LIST,https://www.lamaison.fr/bricolage/droguerie-et-entretien-de-la-maison/produit-d-antan.html,9
64,Insecticide,PAGE_LIST,https://www.lamaison.fr/bricolage/droguerie-et-entretien-de-la-maison/insecticide.html,9
65,Produit d'atelier,PAGE_LIST,https://www.lamaison.fr/bricolage/droguerie-et-entretien-de-la-maison/produit-d-atelier.html,9
10,Rangement,S_CAT,https://www.lamaison.fr/bricolage/rangement.html,1
66,Etagère et rack,PAGE_LIST,https://www.lamaison.fr/bricolage/rangement/etagere-et-rack.html,10
67,"Boîte à outils, servante",PAGE_LIST,https://www.lamaison.fr/bricolage/rangement/boite-a-outils-servante.html,10
68,Emballage et protection,PAGE_LIST,https://www.lamaison.fr/bricolage/rangement/emballage-et-protection.html,10
2,Matériaux,CAT,https://www.lamaison.fr/materiaux.html,
11,Gros oeuvre,S_CAT,https://www.lamaison.fr/materiaux/gros-oeuvre.html,2
69,Matériaux gros oeuvre,PAGE_LIST,https://www.lamaison.fr/materiaux/gros-oeuvre/materiaux-gros-oeuvre.html,11
70,Agglo,PAGE_LIST,https://www.lamaison.fr/materiaux/gros-oeuvre/agglo.html,11
71,Poudre et liant,PAGE_LIST,https://www.lamaison.fr/materiaux/gros-oeuvre/poudre-et-liant.html,11
72,"Gravier, sable",PAGE_LIST,https://www.lamaison.fr/materiaux/gros-oeuvre/gravier-sable.html,11
73,Fer à béton,PAGE_LIST,https://www.lamaison.fr/materiaux/gros-oeuvre/fer-a-beton.html,11
74,Fer laminé,PAGE_LIST,https://www.lamaison.fr/materiaux/gros-oeuvre/fer-lamine.html,11
75,"Charpente, couverture, bardage",PAGE_LIST,https://www.lamaison.fr/materiaux/gros-oeuvre/charpente-couverture-bardage.html,11
76,Alimentation eau,PAGE_LIST,https://www.lamaison.fr/materiaux/gros-oeuvre/alimentation-eau.html,11
