id_produit,nom_produit,marque_produit,prix_produit,en_promotion,date_fin_promo,categorie,sous_categorie,sous_sous_categorie,reference,code_article,gencod,url_produit
154056,Kit déjointage DREMEL,DREMEL,24.900001,Non,,Bricolage,Outillage,Outil électroportatif,26150568JB,0539589,8710364082414,https://www.lamaison.fr/0539589.html
154055,Mini scie circulaire de précision DREMEL,Null,39.900001,Non,,Bricolage,Outillage,Outil électroportatif,26150670JD,0539590,8710364082384,https://www.lamaison.fr/0539590.html
164002, Meuleuse Ø125 mm LXT 18V Li-ion MAKITA,MAKITA,254.900041,Non,,Bricolage,Outillage,Outil électroportatif,DGA506ZJ,0398274,0088381814355,https://www.lamaison.fr/0398274.html
166829,Diable polyvalent noir,LA GEE,167.799961,Non,,Bricolage,Echelle et brouette,"Diable, chariot de manutention",P1215901,0521090,3700231901691,https://www.lamaison.fr/0521090.html
3137,Nettoyeur haute pression E145.4-9 XTRA EXCELLENT NILFISK,NILFISK,339.900001,Non,,Bricolage,Outillage,Matériel de nettoyage,128471185,0358065,5703887131564,https://www.lamaison.fr/0358065.html
160771,Scie sauteuse BST18X2-0 18V AEG,AEG,189.990001,Non,,Bricolage,Outillage,Outil électroportatif,4935492485,0538231,4058546418526,https://www.lamaison.fr/0538231.html
191348,Laser CompactLine-Laser G360 + trépied compact 165 cm,LASERLINER,219.900001,Non,,Bricolage,Outillage,Outillage à main,036.162E,0554124,4021563730384,https://www.lamaison.fr/0554124.html
6428,"Échafaudage Quad'up 4,7m",CENTAURE,594.999961,Non,,Matériaux,Gros oeuvre,Equipement de chantier,347703,0362726,3172963477032,https://www.lamaison.fr/0362726.html
166375,Ponceuse multi sans fil EasySander 18V-10 sans batterie,BOSCH,62.900041,Non,,Bricolage,Outillage,Outil électroportatif,06033E3000,0539587,4053423231939,https://www.lamaison.fr/0539587.html
7859,"Réhausse échafaudage tek'up 6,65m",CENTAURE,609.900001,Non,,Bricolage,Echelle et brouette,Echafaudage,347705,0362727,3172963477056,https://www.lamaison.fr/0362727.html
111316,"Bloc mutiprise avec interrupteur 5 prises 3G1 1,5m noir",ZENITECH,12.500041,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",189657,0519174,3545411896578,https://www.lamaison.fr/0519174.html
111319,"Bloc mutiprise avec interrupteur 3 prises 3G1 1,5m blanc",ZENITECH,9.930001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",189650,0519167,3545411896509,https://www.lamaison.fr/0519167.html
111318,Triplite 16A + chargeurs USB A+C + blanc/gris bolea,ZENITECH,18.950041,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",190734,0519166,3545411907342,https://www.lamaison.fr/0519166.html
111317,"Bloc mutiprise avec interrupteur 6 prises 3G1 1,5m noir",ZENITECH,13.500001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",189658,0519175,3545411896585,https://www.lamaison.fr/0519175.html
111320,"Bloc mutiprise avec interrupteur 4 prises 3G1 1,5m blanc",ZENITECH,11.500081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",189651,0519168,3545411896516,https://www.lamaison.fr/0519168.html
