code_article,gencod,marque_produit,nom_produit,prix_produit,reference,url_produit
0410039,8714982184406,cm,"Étagère pliante 25,5x55,5x109,6 cm","65,00 €",BPH151,https://www.lamaison.fr/0410039.html
0353956,8714982129759,cm,"Étagère d'angle pliante 31,1x30,7x114,0 cm","69,00 €",BPH86,https://www.lamaison.fr/0353956.html
0428378,null,(unité),"Pavé tour d'arbre pierre L.17 x l.13 x ép.4,5 cm (unité)","2,65 €",212634,https://www.lamaison.fr/0428378.html
0428379,null,(unité),"Pavé tour d'arbre anthracite L.17 x l.13 x ép.4,5 cm (unité)","2,65 €",212649,https://www.lamaison.fr/0428379.html
0428377,null,(unité),Pavé Touraine anthracite L.12 x l.12 x ép.2 cm (unité),"0,95 €",212648,https://www.lamaison.fr/0428377.html
0353957,8714982129766,cm,"Étagère droite pliante 60x30,5x113,2 cm","119,00 €",BPH87,https://www.lamaison.fr/0353957.html
0444769,3700164724695,cm,"Bordure plate avec pente pierre L.50xl.19,5 x ép.5,5 cm","7,70 €",212469,https://www.lamaison.fr/0444769.html
0503329,8435332640433,blanc,Dalle Tarima 40x40x4 cm blanc,"21,50 €",235TAMIRABLAN40,https://www.lamaison.fr/0503329.html
0445688,null,noir,Brique de jardinière 500x50x90 mm noir,"2,17 €",A018K5,https://www.lamaison.fr/0445688.html
0445694,null,blanc,Brique de jardinière 500x50x90 mm blanc,"3,02 €",A018KU,https://www.lamaison.fr/0445694.html
0533077,3700081424043,"1,5m","Traverse paysagère en pin CL4 marron brut de sciage 1,5m","21,56 €",12A100104/012,https://www.lamaison.fr/0533077.html
0534536,8422502083022,Lop,Bordure Clicktrunk Lop,"31,90 €",2021886,https://www.lamaison.fr/0534536.html
0534539,8422502576470,Lop,Bordure Clickboard Lop,"26,50 €",2021890,https://www.lamaison.fr/0534539.html
0531400,3760208357647,100x20x12cm,Traverse schiste 100x20x12cm,,0765,https://www.lamaison.fr/0531400.html
8063498,3217777212773,Frein,Frein,"3,35 €",721277,https://www.lamaison.fr/8063498.html
0350344,3217777230081,pneus,Kit de réparation + démonte pneus,"3,95 €",723008,https://www.lamaison.fr/0350344.html
0353413,3217777230043,5ml,Tube de dissolution 5ml,"1,25 €",723004,https://www.lamaison.fr/0353413.html
0364066,3217777210618,75ml,Lubrifiant chaîne 75ml,"3,95 €",721061,https://www.lamaison.fr/0364066.html
0353412,3217777230074,réparation,Kit de réparation,"1,70 €",723007,https://www.lamaison.fr/0353412.html
8065325,3217777239534,pied,Pompe sur pied,"7,00 €",723953,https://www.lamaison.fr/8065325.html
0356578,3217777230029,réparation,Pièces de réparation,"1,30 €",723002,https://www.lamaison.fr/0356578.html
0365722,3217777230111,75ml,Répare crevaison 75ml,"3,70 €",723011,https://www.lamaison.fr/0365722.html
0368240,3217777211127,renforcée,Chaîne 5-8 vitesses renforcée,"10,25 €",721112,https://www.lamaison.fr/0368240.html
0329803,3217777245740,tréssée,Guidoline tréssée,"5,35 €",724574,https://www.lamaison.fr/0329803.html
0403148,3234640034683,MOTTEZ,Range 5 vélos mural ,"84,90 €",B130P,https://www.lamaison.fr/0403148.html
0403150,3234640034317,MOTTEZ,Range 1 vélo mural pivotant à 180°,"24,90 €",B049Q,https://www.lamaison.fr/0403150.html
0403169,3234640021881,MOTTEZ,Râtelier universel 2 éléments MOTTEZ,"24,90 €",B013F2,https://www.lamaison.fr/0403169.html
0403152,3234640030234,MOTTEZ,Crochet vélo fixation par la roue ,"3,90 €",B012V,https://www.lamaison.fr/0403152.html
0403153,3234640030241,MOTTEZ,Crochet vélo gainé fixation par la roue ,"6,90 €",B012G,https://www.lamaison.fr/0403153.html
0403155,3234640036496,MOTTEZ,Crochet 1 vélo mural gainé,"10,90 €",B046Q,https://www.lamaison.fr/0403155.html
0403151,3234640032559,MOTTEZ,Support 2 vélos mural rabattable,"32,90 €",B053QRA,https://www.lamaison.fr/0403151.html
0403156,3234640032214,MOTTEZ,Support 2 vélos mural,"24,90 €",B053F,https://www.lamaison.fr/0403156.html
0403149,3234640032030,MOTTEZ,Râtelier 5 vélos face à face au sol,"78,90 €",B131V,https://www.lamaison.fr/0403149.html
0403157,3234640053264,MOTTEZ,Crochet vélo mural fixation par la pédale,"6,50 €",B215V,https://www.lamaison.fr/0403157.html
0268417,3217777247799,T.M,Couvre-selle gel T.M,"13,40 €",724779,https://www.lamaison.fr/0268417.html
0268405,3217777223502,"0,9m","Chaîne antivol + cadenas Longueur 0,9m","6,00 €",722350,https://www.lamaison.fr/0268405.html
